"TE_id","TE_class","fam_length","fpkm","tpm","TE_class_group"
"Seq_117336:19165..33400","LTR/Gypsy",14235,0,0,"LTR"
"Seq_117336:35680..45042","LTR/Copia",9362,0,0,"LTR"
"Seq_117337:28403..28482","MITE/DTT",79,0,0,"MITE"
"Seq_117337:33521..42876","LTR/Copia",9355,0,0,"LTR"
"Seq_117340:27599..37122","LTR/Copia",9523,0,0,"LTR"
"Seq_117341:182834..191979","LTR/Copia",9145,0,0,"LTR"
"Seq_117341:214947..224422","LTR/Copia",9475,0,0,"LTR"
"Seq_117341:245498..255008","LTR/Copia",9510,0,0,"LTR"
"Seq_117341:92443..103436","LTR/Gypsy",10993,0,0,"LTR"
"Seq_117345:136773..144201","LTR/Gypsy",7428,0,0,"LTR"
"Seq_117345:412556..423400","LTR/Gypsy",10844,0,0,"LTR"
"Seq_117345:440576..452337","LTR/Copia",11761,0,0,"LTR"
"Seq_117345:472353..479786","LTR/Gypsy",7433,0,0,"LTR"
"Seq_117345:50477..62566","LTR/Gypsy",12089,0,0,"LTR"
"Seq_117345:517929..522874","DNA/DTC",4945,9.85857842704084,115.177398438092,"DNA"
"Seq_117345:708078..715357","LTR/Gypsy",7279,0,0,"LTR"
"Seq_117345:772018..779245","LTR/Copia",7227,0,0,"LTR"
"Seq_117345:892973..900340","LTR/Gypsy",7367,0,0,"LTR"
"Seq_117345:925350..932715","LTR/Gypsy",7365,0,0,"LTR"
"Seq_117346:37796..47329","LTR/Copia",9533,0,0,"LTR"
"Seq_117346:56478..65711","LTR/Copia",9233,0,0,"LTR"
"Seq_117348:16330..16467","MITE/DTM",137,0,0,"MITE"
"Seq_117348:5748..15275","LTR/Copia",9527,0,0,"LTR"
"Seq_117349:24326..31769","LTR/Gypsy",7443,0,0,"LTR"
"Seq_117349:2594..12502","LTR/unknown",9908,0,0,"LTR"
"Seq_117349:42688..51873","LTR/Copia",9185,0,0,"LTR"
"Seq_117349:53488..65304","LTR/Copia",11816,0,0,"LTR"
"Seq_117351:15568..22922","LTR/Gypsy",7354,0,0,"LTR"
"Seq_117351:2916..10427","LTR/Gypsy",7511,0,0,"LTR"
"Seq_117355:39332..48746","LTR/Gypsy",9414,0,0,"LTR"
"Seq_117357:5437..14912","LTR/Copia",9475,0,0,"LTR"
